"NSFTV.ID","Exp","Rep","DayOfImaging","PSA"
"NSFTV_101","E2","2",7,29189
"NSFTV_101","E2","2",8,36447
"NSFTV_101","E2","2",9,40122
"NSFTV_101","E2","2",10,43235
"NSFTV_101","E2","2",11,51313
"NSFTV_101","E2","2",12,59125
"NSFTV_101","E2","2",13,70352
"NSFTV_101","E2","2",14,78334
"NSFTV_101","E2","2",15,81387
"NSFTV_101","E2","2",16,92672
"NSFTV_101","E2","2",17,110895
"NSFTV_101","E2","2",18,137760
"NSFTV_101","E2","2",19,150901
"NSFTV_101","E2","2",20,176359
"NSFTV_101","E3","1",1,12076
"NSFTV_101","E3","1",2,14386
"NSFTV_101","E3","1",3,17818
"NSFTV_101","E3","1",4,23259
"NSFTV_101","E3","1",5,27856
"NSFTV_101","E3","1",6,32123
"NSFTV_101","E3","1",7,39213
"NSFTV_101","E3","1",8,48418
"NSFTV_101","E3","1",9,56133
"NSFTV_101","E3","1",10,70400
"NSFTV_101","E3","1",11,85870
"NSFTV_101","E3","1",12,105211
"NSFTV_101","E3","1",13,120290
"NSFTV_101","E3","1",14,143793
"NSFTV_101","E3","1",15,176446
"NSFTV_101","E3","1",16,205827
"NSFTV_101","E3","1",17,246130
"NSFTV_101","E3","1",18,294322
"NSFTV_101","E3","1",19,331291
"NSFTV_101","E3","1",20,388144
"NSFTV_101","E3","2",1,NA
"NSFTV_101","E3","2",2,NA
"NSFTV_101","E3","2",3,NA
"NSFTV_101","E3","2",4,NA
"NSFTV_101","E3","2",5,NA
"NSFTV_101","E3","2",6,NA
"NSFTV_101","E3","2",7,NA
"NSFTV_101","E3","2",8,NA
"NSFTV_101","E3","2",9,NA
"NSFTV_101","E3","2",10,NA
"NSFTV_101","E3","2",11,NA
"NSFTV_101","E3","2",12,NA
"NSFTV_101","E3","2",13,NA
"NSFTV_101","E3","2",14,NA
"NSFTV_101","E3","2",15,NA
"NSFTV_101","E3","2",16,NA
"NSFTV_101","E3","2",17,NA
"NSFTV_101","E3","2",18,NA
"NSFTV_101","E3","2",19,NA
"NSFTV_101","E3","2",20,NA
"NSFTV_102","E1","1",1,14614
"NSFTV_102","E1","1",2,18471
"NSFTV_102","E1","1",3,24373
"NSFTV_102","E1","1",4,29482
"NSFTV_102","E1","1",5,34265
"NSFTV_102","E1","1",6,43821
"NSFTV_102","E1","1",7,55081
